Open,High,Low,Close,Volume
75.645,75.655,75.645,75.645,15
75.655,75.655,75.640,75.645,14
75.650,75.675,75.650,75.675,7
75.680,75.685,75.675,75.675,3
75.680,75.705,75.675,75.695,14
75.685,75.705,75.685,75.705,11
75.715,75.726,75.705,75.726,14
75.720,75.741,75.715,75.736,14
75.746,75.746,75.725,75.725,23
75.715,75.715,75.685,75.685,25
75.690,75.695,75.685,75.685,16
75.695,75.710,75.685,75.705,18
75.710,75.710,75.695,75.695,9
75.700,75.705,75.685,75.685,12
75.690,75.695,75.685,75.685,11
75.695,75.705,75.685,75.700,19
75.705,75.705,75.685,75.695,14
75.705,75.705,75.675,75.675,10
75.680,75.680,75.675,75.675,8
75.685,75.685,75.664,75.675,15
75.680,75.695,75.664,75.669,16
75.675,75.675,75.654,75.654,12
75.659,75.664,75.634,75.634,15
75.644,75.644,75.614,75.614,25
75.604,75.604,75.583,75.593,21
75.604,75.604,75.593,75.603,11
75.593,75.603,75.573,75.583,11
75.578,75.588,75.573,75.583,8
75.573,75.603,75.573,75.593,35
75.583,75.593,75.583,75.593,3
75.588,75.608,75.588,75.608,15
75.598,75.603,75.568,75.583,19
75.588,75.588,75.573,75.578,18
75.583,75.593,75.573,75.573,11
75.578,75.603,75.563,75.593,12
75.598,75.613,75.593,75.593,16
75.603,75.613,75.603,75.608,20
75.613,75.623,75.603,75.608,15
75.603,75.613,75.583,75.598,29
75.603,75.613,75.593,75.593,27
75.588,75.593,75.573,75.578,25
75.573,75.578,75.563,75.568,22
75.563,75.573,75.563,75.573,19
75.568,75.568,75.522,75.527,42
75.532,75.532,75.512,75.522,13
75.532,75.532,75.512,75.532,15
75.537,75.537,75.517,75.522,9
75.517,75.522,75.512,75.517,12
75.522,75.532,75.512,75.517,11
75.522,75.532,75.512,75.522,11
75.517,75.552,75.512,75.552,9
75.547,75.552,75.547,75.552,4
75.542,75.542,75.532,75.537,4
75.542,75.542,75.537,75.542,3
75.532,75.552,75.532,75.552,3
75.562,75.572,75.547,75.567,18
75.562,75.572,75.562,75.572,5
75.582,75.582,75.562,75.582,9
75.572,75.582,75.557,75.557,7
75.562,75.562,75.552,75.552,2
75.547,75.547,75.542,75.542,4
75.537,75.537,75.522,75.532,9
75.527,75.552,75.527,75.542,13
75.547,75.572,75.547,75.572,15
75.562,75.562,75.557,75.562,3
75.557,75.562,75.557,75.562,2
75.572,75.572,75.562,75.572,7
75.567,75.567,75.542,75.542,11
75.547,75.552,75.542,75.547,14
75.552,75.552,75.542,75.542,10
75.552,75.552,75.547,75.552,5
75.557,75.557,75.557,75.557,1
75.552,75.562,75.552,75.557,5
75.562,75.577,75.552,75.552,12
75.557,75.562,75.521,75.521,13
75.516,75.521,75.511,75.511,3
75.521,75.521,75.521,75.521,1
75.531,75.541,75.526,75.531,5
75.552,75.552,75.531,75.531,7
75.541,75.541,75.526,75.531,7
75.526,75.526,75.521,75.521,2
75.526,75.531,75.526,75.531,2
75.526,75.526,75.501,75.511,12
75.501,75.511,75.501,75.501,4
75.506,75.521,75.506,75.521,8
75.531,75.531,75.521,75.531,4
75.521,75.531,75.521,75.531,3
75.526,75.531,75.521,75.521,5
75.526,75.531,75.521,75.531,4
75.541,75.551,75.541,75.546,14
75.551,75.551,75.541,75.551,7
75.556,75.561,75.551,75.556,9
75.551,75.561,75.551,75.556,6
75.561,75.561,75.556,75.561,3
75.571,75.571,75.551,75.556,23
75.551,75.561,75.521,75.526,14
75.531,75.531,75.526,75.531,3
75.536,75.546,75.536,75.546,3
75.541,75.566,75.541,75.551,9
75.556,75.556,75.551,75.556,5
